target,predictors,n,R2_weighted,R2_ci_low,R2_ci_high,R2_unweighted
BODY: waist-to-height ratio,L1  age + sex,5578,0.0791,0.0425,0.1157,0.0987
BODY: waist-to-height ratio,L1+ age + sex + ethnicity + SES,4861,0.1047,0.0613,0.1481,0.1246
BODY: waist-to-height ratio,L2  + BMI,5573,0.8947,0.8841,0.9054,0.8918
BODY: waist circumference,L1  age + sex,5587,0.0631,0.0266,0.0997,0.0558
BODY: waist circumference,L1+ age + sex + ethnicity + SES,4868,0.082,0.0452,0.1187,0.0912
BODY: waist circumference,L2  + BMI,5573,0.8813,0.872,0.8907,0.8801
BEHAVIOUR: weekly MVPA minutes,L1  age + sex,6113,0.0737,0.0487,0.0986,0.0778
BEHAVIOUR: weekly MVPA minutes,L1+ age + sex + ethnicity + SES,5309,0.0798,0.0537,0.106,0.0854
BEHAVIOUR: weekly MVPA minutes,L2  + BMI,5847,0.0737,0.0479,0.0995,0.0739
BEHAVIOUR: weekly MVPA minutes,L2+ + waist,5573,0.0748,0.0497,0.1,0.0733
BEHAVIOUR: weekly MVPA minutes,L2++ + waist-to-height + BP,5152,0.0752,0.0484,0.1021,0.0753
BEHAVIOUR: sedentary minutes/day,L1  age + sex,6087,0.0025,-0.003,0.008,0.0007
BEHAVIOUR: sedentary minutes/day,L1+ age + sex + ethnicity + SES,5290,0.0482,0.0292,0.0673,0.056
BEHAVIOUR: sedentary minutes/day,L2  + BMI,5821,0.0118,0.0025,0.0211,0.007
BEHAVIOUR: sedentary minutes/day,L2+ + waist,5548,0.0127,0.0018,0.0237,0.0068
BEHAVIOUR: sedentary minutes/day,L2++ + waist-to-height + BP,5129,0.0164,0.0074,0.0255,0.0109
BEHAVIOUR: sleep hours,L1  age + sex,4170,0.0039,-0.0024,0.0101,0.0032
BEHAVIOUR: sleep hours,L1+ age + sex + ethnicity + SES,3615,0.0164,0.0043,0.0285,0.018
BEHAVIOUR: sleep hours,L2  + BMI,3984,0.014,0.0031,0.0248,0.0078
BEHAVIOUR: sleep hours,L2+ + waist,3783,0.0119,0.0005,0.0233,0.0056
BEHAVIOUR: sleep hours,L2++ + waist-to-height + BP,3490,0.0119,0.0001,0.0237,0.0058
