variable,n_people,n_obs,median_days,icc,sd_between,sd_within,mean,kind,icc_ci_low,icc_ci_high
minutesAsleep,55,3441,60.0,0.2016379526122917,43.25299488345301,86.0656763350053,394.7236268526591,behaviour,0.14142798291221464,0.24906480449563212
very_active_minutes,66,4662,67.0,0.22631327045392854,14.858055583235831,27.471953471154162,21.703775203775205,behaviour,0.17478555569110657,0.2820720464055551
moderately_active_minutes,66,4662,67.0,0.23181452256942586,12.815737232373197,23.329547785072943,21.263191763191763,behaviour,0.12381533105866109,0.35035703815471664
stress_score,32,1826,57.5,0.26478878501814246,14.449327064216034,24.07708409943877,64.70646221248631,physiology,0.15545335847015862,0.3723205377041655
steps,66,4662,67.0,0.2880020748578349,2919.2760547140224,4590.042647738488,8385.265336765337,behaviour,0.17331696283599224,0.3974371765975825
spo2,23,1222,55.0,0.32443901822128945,0.6449474321156979,0.9306578775075314,95.88715220949264,physiology,0.16612054578586824,0.4390991089616678
sedentary_minutes,66,4662,67.0,0.4075499226933772,170.2060012641447,205.21558568367482,842.7069927069927,behaviour,0.2901177998945449,0.49396107101663334
nightly_temperature,54,3275,58.5,0.4382323838982501,0.5653308016850901,0.640071904746636,33.79518180511414,physiology,0.33729527811769183,0.5293947098161139
calories,66,4662,67.0,0.5707379507851967,520.5760003612529,451.468042413529,2403.272172887173,behaviour,0.46743410777212985,0.6469784507534626
rmssd,39,2451,60.0,0.7079621034688257,18.157336904411014,11.661831235605534,40.02570624235006,physiology,0.5317843432171945,0.8230185838151508
sleep_efficiency,55,3441,60.0,0.7848007271465539,5.680866534133427,2.9747829763286533,93.71839581517001,physiology,0.21233400379772135,0.8916717638124738
resting_hr,65,4363,65.0,0.8661708988543106,6.818581290698376,2.6802018881430474,66.24095595541444,physiology,0.8107598345577399,0.8979697754047685
