variable,n_obs,n_people,r2_population_mean,r2_person_mean,r2_person_plus_dow,r2_person_plus_lag1,r2_person_plus_trailing7,kind
steps,4662,66,0.0,0.29423331657938756,0.30950548915582654,0.22563177791883315,0.2462570535527483,behaviour
very_active_minutes,4662,66,0.0,0.233948664602464,0.2429407095441526,0.06781649432188752,0.17268365693623933,behaviour
moderately_active_minutes,4662,66,0.0,0.23931917921075596,0.26276235707440354,0.10268668925717384,0.15163475834256956,behaviour
sedentary_minutes,4662,66,0.0,0.41144811281187843,0.41470474730785833,0.36606253476695094,0.36250923502965293,behaviour
calories,4662,66,0.0,0.5722830815713893,0.57964126114174,0.5397384301171504,0.5655377110431745,behaviour
minutesAsleep,3441,55,0.0,0.21074124880108702,0.21498921758569578,-0.010440335161626013,0.10009800558043302,behaviour
sleep_efficiency,3441,55,0.0,0.7845352778667563,0.7847987554051121,0.7508976972876736,0.7628254826295819,physiology
resting_hr,4363,65,0.0,0.8659769428462892,0.8664411380589985,0.948074399548804,0.9078577820847741,physiology
rmssd,2451,39,0.0,0.7060151478248128,0.7086135819590273,0.7129879386153255,0.6876750301848367,physiology
spo2,1222,23,0.0,0.32633782229118036,0.3274406251069175,0.21712558288331363,0.24171092297405095,physiology
stress_score,1826,32,0.0,0.27076645709097547,0.2800066889573126,0.19621072114239135,0.18101055299992286,physiology
nightly_temperature,3275,54,0.0,0.4418854263168335,0.4437792664732675,0.36958558664903707,0.38440190591953616,physiology
