feature,std_coef,abs_coef
hist_expmean,866.620215913849,866.620215913849
hist_mean7,829.3878972701154,829.3878972701154
hist_lag1,638.6712452913825,638.6712452913825
hist_lag7,414.0599653244999,414.0599653244999
hist_mean28,363.40343229770536,363.40343229770536
hist_mean3,204.8963072653051,204.8963072653051
is_weekend,199.2086247613754,199.2086247613754
hist_expstd,-160.67050573532578,160.67050573532578
hist_lag2,139.45530204397798,139.45530204397798
dow,129.92913363026213,129.92913363026213
hist_trend,-109.471742909091,109.471742909091
bmi,44.1851940003387,44.1851940003387
hist_std7,31.72675415826751,31.72675415826751
hist_dow_dev,-25.558896259978496,25.558896259978496
sex_male,11.965112333972172,11.965112333972172
