rung,fold,n_test,auc,brier,base_rate
L0 base rate,0,151,0.5,0.18833072182673954,0.7483443708609272
L0 base rate,1,152,0.5,0.16482133089347695,0.7960526315789473
L0 base rate,2,127,0.5,0.13260341332547915,0.8582677165354331
L0 base rate,3,106,0.5,0.175226617534829,0.7735849056603774
L0 base rate,4,112,0.5,0.13082449776785715,0.8571428571428571
L1 demographics (the book),0,151,0.5865160689333955,0.18616169098071245,0.7483443708609272
L1 demographics (the book),1,152,0.5601173020527859,0.16365133721022418,0.7960526315789473
L1 demographics (the book),2,127,0.571355759429154,0.1324753439275348,0.8582677165354331
L1 demographics (the book),3,106,0.6453252032520325,0.17022386031691678,0.7735849056603774
L1 demographics (the book),4,112,0.5572916666666667,0.1314965021978267,0.8571428571428571
L2 + body measurements,0,151,0.5366790870982766,0.18673568645856328,0.7483443708609272
L2 + body measurements,1,152,0.6123700346574248,0.15969689287443553,0.7960526315789473
L2 + body measurements,2,127,0.5484199796126401,0.13512028536923648,0.8582677165354331
L2 + body measurements,3,106,0.5932418699186992,0.1719961823808817,0.7735849056603774
L2 + body measurements,4,112,0.7298177083333334,0.12338438703230484,0.8571428571428571
L2g + the goal itself,0,151,0.48625989753143917,0.190430583535786,0.7483443708609272
L2g + the goal itself,1,152,0.6700879765395895,0.15664842880848712,0.7960526315789473
L2g + the goal itself,2,127,0.6162079510703364,0.13150223482658488,0.8582677165354331
L2g + the goal itself,3,106,0.6270325203252033,0.17086940334557932,0.7735849056603774
L2g + the goal itself,4,112,0.724609375,0.1192329851567294,0.8571428571428571
L3 + own behaviour history,0,151,0.6460176991150443,0.18271413656732402,0.7483443708609272
L3 + own behaviour history,1,152,0.7030125299920023,0.1500829559011719,0.7960526315789473
L3 + own behaviour history,2,127,0.6539245667686036,0.1396865439182143,0.8582677165354331
L3 + own behaviour history,3,106,0.7637195121951219,0.15083481375568908,0.7735849056603774
L3 + own behaviour history,4,112,0.7369791666666667,0.11402887680653565,0.8571428571428571
L3a + own adherence history,0,151,0.668607359105729,0.17749757716591782,0.7483443708609272
L3a + own adherence history,1,152,0.7384697414022927,0.14477846261573146,0.7960526315789473
L3a + own adherence history,2,127,0.7563710499490317,0.11758849172040986,0.8582677165354331
L3a + own adherence history,3,106,0.8150406504065041,0.13799885661480238,0.7735849056603774
L3a + own adherence history,4,112,0.7539062500000001,0.11032830678256264,0.8571428571428571
L4 + yesterday's context,0,151,0.6651141127154169,0.18048475091446017,0.7483443708609272
L4 + yesterday's context,1,152,0.6646227672620635,0.15341572850607613,0.7960526315789473
L4 + yesterday's context,2,127,0.7206931702344547,0.12046925142759775,0.8582677165354331
L4 + yesterday's context,3,106,0.8323170731707317,0.13161323448213008,0.7735849056603774
L4 + yesterday's context,4,112,0.7486979166666666,0.11143237102055968,0.8571428571428571
