rung,pred_mean,observed
L1 demographics (the book),0.7207287597218512,0.8269230769230769
L1 demographics (the book),0.7906374952199844,0.8833333333333333
L2 + body measurements,0.7047890913634133,0.6666666666666666
L2 + body measurements,0.7341360618378762,0.8484848484848485
L2 + body measurements,0.7463672665956734,0.9166666666666666
L2 + body measurements,0.8302109147480075,0.9285714285714286
L2 + body measurements,0.8450760616842387,1.0
L2g + the goal itself,0.7104964316710887,0.8333333333333334
L2g + the goal itself,0.7512256086191708,0.5925925925925926
L2g + the goal itself,0.787281277252203,1.0
L2g + the goal itself,0.8381697052576115,0.9545454545454546
L2g + the goal itself,0.8626419745328755,1.0
L3 + own behaviour history,0.5828313761421026,0.7391304347826086
L3 + own behaviour history,0.6915834385006868,0.6818181818181818
L3 + own behaviour history,0.8295708610415382,0.9545454545454546
L3 + own behaviour history,0.902541099310032,0.9545454545454546
L3 + own behaviour history,0.9510568720572179,0.9565217391304348
L3a + own adherence history,0.6290501567295574,0.6956521739130435
L3a + own adherence history,0.7541358095296787,0.6818181818181818
L3a + own adherence history,0.8711316974686061,1.0
L3a + own adherence history,0.9172613977370805,0.9545454545454546
L3a + own adherence history,0.9526262442767697,0.9565217391304348
L4 + yesterday's context,0.6445364640745694,0.6521739130434783
L4 + yesterday's context,0.7900845552734501,0.7727272727272727
L4 + yesterday's context,0.8726249163327489,0.9545454545454546
L4 + yesterday's context,0.9304222854163136,1.0
L4 + yesterday's context,0.9666656713887333,0.9130434782608695
