age,sex,activity_level,veg_fruit,grain,dairy,meat,calories,moderate_min,moderate_days,strength_days,sleep,water,hr_moderate_low,hr_moderate_high
18,female,inactive,"(7, 7)","(6, 6)","(3, 4)","(2, 2)",2000.0,30,5,"(2, 4)","(7, 8)","(6, 8)",121.2,151.5
18,female,moderately_active,"(7, 7)","(6, 6)","(3, 4)","(2, 2)",,30,5,"(2, 4)","(7, 8)","(6, 8)",121.2,151.5
18,female,very_active,"(7, 7)","(6, 6)","(3, 4)","(2, 2)",2500.0,30,5,"(2, 4)","(7, 8)","(6, 8)",121.2,151.5
18,male,inactive,"(8, 8)","(7, 7)","(3, 4)","(3, 3)",2500.0,30,5,"(2, 4)","(7, 8)","(6, 8)",121.2,151.5
18,male,moderately_active,"(8, 8)","(7, 7)","(3, 4)","(3, 3)",,30,5,"(2, 4)","(7, 8)","(6, 8)",121.2,151.5
18,male,very_active,"(8, 8)","(7, 7)","(3, 4)","(3, 3)",3500.0,30,5,"(2, 4)","(7, 8)","(6, 8)",121.2,151.5
19,female,inactive,"(7, 8)","(6, 7)","(2, 2)","(2, 2)",2000.0,30,5,"(2, 4)","(7, 8)","(6, 8)",120.6,150.8
19,female,moderately_active,"(7, 8)","(6, 7)","(2, 2)","(2, 2)",,30,5,"(2, 4)","(7, 8)","(6, 8)",120.6,150.8
19,female,very_active,"(7, 8)","(6, 7)","(2, 2)","(2, 2)",2500.0,30,5,"(2, 4)","(7, 8)","(6, 8)",120.6,150.8
19,male,inactive,"(8, 10)","(8, 8)","(2, 2)","(3, 3)",2500.0,30,5,"(2, 4)","(7, 8)","(6, 8)",120.6,150.8
19,male,moderately_active,"(8, 10)","(8, 8)","(2, 2)","(3, 3)",,30,5,"(2, 4)","(7, 8)","(6, 8)",120.6,150.8
19,male,very_active,"(8, 10)","(8, 8)","(2, 2)","(3, 3)",3500.0,30,5,"(2, 4)","(7, 8)","(6, 8)",120.6,150.8
20,female,inactive,"(7, 8)","(6, 7)","(2, 2)","(2, 2)",2000.0,30,5,"(2, 4)","(7, 8)","(6, 8)",120.0,150.0
20,female,moderately_active,"(7, 8)","(6, 7)","(2, 2)","(2, 2)",,30,5,"(2, 4)","(7, 8)","(6, 8)",120.0,150.0
20,female,very_active,"(7, 8)","(6, 7)","(2, 2)","(2, 2)",2500.0,30,5,"(2, 4)","(7, 8)","(6, 8)",120.0,150.0
20,male,inactive,"(8, 10)","(8, 8)","(2, 2)","(3, 3)",2500.0,30,5,"(2, 4)","(7, 8)","(6, 8)",120.0,150.0
20,male,moderately_active,"(8, 10)","(8, 8)","(2, 2)","(3, 3)",,30,5,"(2, 4)","(7, 8)","(6, 8)",120.0,150.0
20,male,very_active,"(8, 10)","(8, 8)","(2, 2)","(3, 3)",3500.0,30,5,"(2, 4)","(7, 8)","(6, 8)",120.0,150.0
21,female,inactive,"(7, 8)","(6, 7)","(2, 2)","(2, 2)",2000.0,30,5,"(2, 4)","(7, 8)","(6, 8)",119.4,149.2
21,female,moderately_active,"(7, 8)","(6, 7)","(2, 2)","(2, 2)",,30,5,"(2, 4)","(7, 8)","(6, 8)",119.4,149.2
21,female,very_active,"(7, 8)","(6, 7)","(2, 2)","(2, 2)",2500.0,30,5,"(2, 4)","(7, 8)","(6, 8)",119.4,149.2
21,male,inactive,"(8, 10)","(8, 8)","(2, 2)","(3, 3)",2500.0,30,5,"(2, 4)","(7, 8)","(6, 8)",119.4,149.2
21,male,moderately_active,"(8, 10)","(8, 8)","(2, 2)","(3, 3)",,30,5,"(2, 4)","(7, 8)","(6, 8)",119.4,149.2
21,male,very_active,"(8, 10)","(8, 8)","(2, 2)","(3, 3)",3500.0,30,5,"(2, 4)","(7, 8)","(6, 8)",119.4,149.2
22,female,inactive,"(7, 8)","(6, 7)","(2, 2)","(2, 2)",2000.0,30,5,"(2, 4)","(7, 8)","(6, 8)",118.8,148.5
22,female,moderately_active,"(7, 8)","(6, 7)","(2, 2)","(2, 2)",,30,5,"(2, 4)","(7, 8)","(6, 8)",118.8,148.5
22,female,very_active,"(7, 8)","(6, 7)","(2, 2)","(2, 2)",2500.0,30,5,"(2, 4)","(7, 8)","(6, 8)",118.8,148.5
